b_win,a_ortg,a_drtg,a_pospg,a_efg,a_opp_efg,a_ts,a_opp_ts,a_a_rate,a_ft_rate,a_ppg,a_opp_ppg,a_apg,a_rpg,a_orpg,a_bpg,a_spg,a_topg,a_pfpg,a_rank,a_sos,b_ortg,b_drtg,b_pospg,b_efg,b_opp_efg,b_ts,b_opp_ts,b_a_rate,b_ft_rate,b_ppg,b_opp_ppg,b_apg,b_rpg,b_orpg,b_bpg,b_spg,b_topg,b_pfpg,b_rank,b_sos
1,99.14979055,106.2885755,72.04107143,0.487864078,0.567639257,0.518860582,0.585472419,0.529411765,0.356796117,71.42857143,76.57142857,12.85714286,31.85714286,9.714285714,2,6,13.42857143,22,261.125,188.9322917,104.0425935,77.10599971,65.99861111,0.504192872,0.343269231,0.546564075,0.385765424,0.551886792,0.389937107,68.66666667,50.88888889,13,41.33333333,11.44444444,7.222222222,4.222222222,14.11111111,14.66666667,11.11111111,141.2881356
1,75.30846688,106.3678911,70.51,0.418111753,0.534971645,0.438173041,0.579351898,0.48989899,0.352601156,53.1,75,9.7,27.4,9.3,3.6,9.4,18.8,19.5,316.21875,136.6486486,105.768981,92.26213668,68.74821429,0.536,0.474867725,0.570915821,0.503744044,0.438888889,0.397333333,72.71428571,63.42857143,11.28571429,31.85714286,9.428571429,2.428571429,7,13.71428571,18.28571429,145.1875,232.4821429
1,88.36989112,104.6010956,69.3109375,0.46073903,0.493839836,0.497108654,0.526196416,0.482954545,0.290993072,61.25,72.5,10.625,25,7.375,3.375,5.125,15.625,17.75,285.71875,139.4935622,100.5774565,95.66680307,68.728125,0.497679814,0.477477477,0.532883642,0.510902822,0.565656566,0.429234339,69.125,65.75,14,34.75,9.375,3.625,4.875,14,19.625,85.5,114.1347826
1,104.176943,97.23181343,70.39305556,0.548856549,0.503875969,0.57912517,0.524478501,0.573394495,0.388773389,73.33333333,68.44444444,13.88888889,30.77777778,6.333333333,2.333333333,6.888888889,13.77777778,17.11111111,91.03125,173.7142857,106.8687533,100.3731127,71.84305556,0.501785714,0.55199115,0.525955244,0.588635436,0.52892562,0.364285714,76.77777778,72.11111111,14.22222222,33.22222222,12.33333333,4,9.666666667,11.33333333,20.88888889,42.06060606,89.2541806
0,111.1268604,95.47838412,62.99107143,0.574498567,0.436363636,0.596469872,0.468689118,0.698863636,0.372492837,70,60.14285714,17.57142857,30.28571429,8,4.285714286,4.571428571,11.71428571,18.14285714,103.75,169.0488889,102.376273,111.3096302,69.9625,0.515151515,0.52662037,0.541613498,0.569027721,0.551724138,0.305194805,71.625,77.875,14,30.125,10.375,4.5,8.5,14.25,23.125,228.875,145.4241245
1,111.7979038,102.3022485,69.76875,0.527522936,0.524361949,0.583395662,0.552758955,0.52,0.47706422,78,71.375,13,30.125,8.625,2.875,7.625,12.125,21.125,66.15625,140.2988506,111.0606829,90.13001575,66.8875,0.519417476,0.492690058,0.542288038,0.515923956,0.521276596,0.344660194,74.28571429,60.28571429,14,34.42857143,11.42857143,2.428571429,7.714285714,10.14285714,19.57142857,12,97.66812227
1,101.198556,94.26714801,72.13541667,0.473972603,0.442819149,0.512610451,0.47954866,0.534722222,0.35890411,73,68,12.83333333,39.5,14.33333333,4.5,6.833333333,14.83333333,17.83333333,131.53125,233.4455959,81.94948145,111.4716549,65.4875,0.426565875,0.564189189,0.459387483,0.600466115,0.497076023,0.285097192,53.66666667,73,9.444444444,18.22222222,7.777777778,2.666666667,9.333333333,14.88888889,20.44444444,317.125,148.6907216
0,92.42849131,103.7951019,66.8625,0.481060606,0.507326007,0.509186784,0.531882281,0.451327434,0.314393939,61.8,69.4,10.2,27.4,8.8,3.2,5.8,14.2,18.2,253.65625,203.55,98.28380526,89.66241884,66.28035714,0.497150997,0.453367876,0.538752363,0.474101088,0.440251572,0.433048433,65.14285714,59.42857143,10,33.71428571,10.14285714,3.428571429,6.285714286,15.71428571,17.71428571,120.71875,178.4107143
1,96.23667092,97.42477797,70.13958333,0.482089552,0.46119403,0.519097667,0.50051883,0.522058824,0.346268657,67.5,68.33333333,11.83333333,29,8.5,4.666666667,6.666666667,13.83333333,22.5,225.09375,175.7546012,92.24809693,97.4730868,69.378125,0.46713615,0.523573201,0.502823472,0.552125325,0.450292398,0.410798122,64,67.625,9.625,27.5,8,1.5,7,14.625,21.75,170.78125,141.6953125
0,106.2045596,83.04201428,64.75972222,0.50712831,0.413978495,0.530738232,0.447712872,0.607305936,0.395112016,68.77777778,53.77777778,14.77777778,38.55555556,13,3.555555556,7.333333333,13,16.77777778,17.90909091,137.9344828,104.9921688,98.94323726,69.43375,0.495559503,0.494402985,0.534281212,0.535505495,0.450592885,0.445825933,72.9,68.7,11.4,34.8,13.4,3.7,7.4,14.5,20.9,109.75,156.8424658
0,116.3134549,92.65648103,67.63333333,0.576323988,0.475884244,0.612788056,0.510211005,0.593333333,0.420560748,78.66666667,62.66666667,14.83333333,30.33333333,7.333333333,3,5.666666667,10.83333333,19.66666667,149.4375,274.5989583,97.93381488,89.87065345,66.14444444,0.486761711,0.44989339,0.51714197,0.481180015,0.620192308,0.311608961,64.77777778,59.44444444,14.33333333,33.22222222,8.555555556,4.444444444,3.666666667,12.22222222,20.11111111,135.1875,183.6644068
0,95.09429113,106.1457898,64.84791667,0.408430233,0.510835913,0.456480168,0.540717465,0.412698413,0.375,61.66666667,68.83333333,8.666666667,34.5,10,2.5,4.666666667,6.833333333,19.16666667,255,166.3264249,98.37622258,92.86867344,65.81875,0.5,0.498855835,0.545349266,0.508131137,0.635359116,0.351351351,64.75,61.125,14.375,31,8.125,2.75,6,14.75,12.75,118.3125,176.7548638
0,89.22591537,105.8312346,64.52321429,0.45821727,0.544568245,0.481079145,0.573863977,0.475862069,0.35097493,57.57142857,68.28571429,9.857142857,30.28571429,8.571428571,2.714285714,6.285714286,13.14285714,17.42857143,296.25,158.9605263,96.76443907,115.8754158,68.89583333,0.486725664,0.568597561,0.516829253,0.600589305,0.469798658,0.297935103,66.66666667,79.83333333,11.66666667,22.66666667,8,4.666666667,5.666666667,12.66666667,21.66666667,318.90625,185.1354167
1,95.26842005,84.06037063,65.42916667,0.442675159,0.411530815,0.482622161,0.442339484,0.407407407,0.492569002,62.33333333,55,8.555555556,34.88888889,12.33333333,5.666666667,8.111111111,13.11111111,15.11111111,24.38888889,110.1196013,98.06619468,84.45700848,62.4578125,0.465770171,0.420537897,0.501715046,0.4527897,0.532163743,0.408312958,61.25,52.75,11.375,36.375,11.375,5.75,5.75,12.5,15.875,59.34375,166.5898438
1,91.06056999,96.42725758,72.2046875,0.419087137,0.501152074,0.462661624,0.53268302,0.450549451,0.377593361,65.75,69.625,10.25,39,13.375,5.375,8,14.75,19.625,245.59375,194.6381323,87.26115856,107.2585074,73.34305556,0.449704142,0.526802218,0.490400579,0.554945916,0.482587065,0.333333333,64,78.66666667,10.77777778,31.22222222,7.777777778,5.888888889,6.333333333,16.11111111,18.66666667,260.15625,177.5931034
1,89.58387032,102.185182,62.35178571,0.446969697,0.498525074,0.494248515,0.534291704,0.47761194,0.418181818,55.85714286,63.71428571,9.142857143,28.42857143,8.285714286,2.285714286,6.571428571,14,21.71428571,279.96875,209.1822222,99.7487671,100.120964,59.70555556,0.543632075,0.506297229,0.563854408,0.555326177,0.717948718,0.254716981,59.55555556,59.77777778,15.55555556,23.22222222,4.555555556,1.666666667,5.444444444,11.33333333,20.33333333,163.875,170.3047945
1,96.45046137,98.06694955,69.5953125,0.515550239,0.48785872,0.540404549,0.519332287,0.554347826,0.397129187,67.125,68.25,12.75,27.125,6.25,4.125,5.875,13.75,17.5,146.53125,171.7258687,99.20634921,99.20634921,70,0.5,0.496993988,0.533390228,0.536826283,0.442477876,0.469728601,69.44444444,69.44444444,11.11111111,33.55555556,8.333333333,3.111111111,6.222222222,13.22222222,18.22222222,121.03125,140.2739726
0,111.2830589,90.695693,71.88875,0.511980831,0.457820738,0.552600677,0.497008042,0.519713262,0.329073482,80,65.2,14.5,35.8,10.5,3.6,7.2,9.7,19.1,25.23529412,156.4711246,92.50583146,96.97163022,69.66527778,0.455010225,0.443661972,0.49941878,0.502230299,0.47979798,0.394683027,64.44444444,67.55555556,10.55555556,33,9.333333333,3.888888889,6.222222222,14.55555556,22.11111111,255.71875,221.262069
0,102.1995112,95.62319485,70.328125,0.487206823,0.494075829,0.522062829,0.531043332,0.461165049,0.36673774,71.875,67.25,11.875,34.625,11.875,5,7.375,14.375,19.875,99.90625,132.9031008,107.4268088,102.9595554,67.15535714,0.5375,0.512032086,0.581027441,0.551755586,0.479532164,0.436111111,72.14285714,69.14285714,11.71428571,30.71428571,8.714285714,3.142857143,6.285714286,14,19.14285714,180.0625,230.3928571
1,91.298567,99.86704092,67.69,0.455743879,0.46819788,0.495112963,0.506974651,0.507042254,0.369114878,61.8,67.6,10.8,24.3,7.8,3.5,5.3,13.1,21.5,235.6875,203.191358,99.55474369,101.3814362,72.99166667,0.457831325,0.50308642,0.529383196,0.557648832,0.378787879,0.506024096,72.66666667,74,8.333333333,29,6.333333333,3.333333333,9.666666667,10,24,151.46875,123.2916667
1,95.37359564,104.4007261,72.79642857,0.46073903,0.525700935,0.480545805,0.547916989,0.595375723,0.35334873,69.42857143,76,14.71428571,29.85714286,9,1.285714286,5.428571429,11.57142857,17.71428571,171.25,108.7641921,83.38331093,112.6667356,67.15972222,0.404210526,0.542596349,0.447701532,0.579081633,0.431952663,0.389473684,56,75.66666667,8.111111111,26.55555556,8.666666667,1.222222222,5,13.44444444,19.66666667,344.34375,200.2137931
1,100.6609666,96.05239221,68.7125,0.507886435,0.487616099,0.551311857,0.512720917,0.588235294,0.394321767,69.16666667,66,13.33333333,30.83333333,8.833333333,2,6.333333333,14.33333333,21.16666667,240.59375,204.8367347,97.17797464,99.15113148,67.57361111,0.503333333,0.5,0.544098693,0.534361292,0.60199005,0.435555556,65.66666667,67,13.44444444,26.77777778,7.555555556,2.333333333,6.777777778,15.33333333,16,152.5,176.2567568
1,101.7833228,104.7437795,70.935,0.502555366,0.524305556,0.529325513,0.548987735,0.590038314,0.340715503,72.2,74.3,15.4,27,7.9,1.5,5.3,11.1,19.1,202.125,199.96875,83.06411209,104.2102172,72.35375,0.457224335,0.516129032,0.49256239,0.536273115,0.509615385,0.336501901,60.1,75.4,10.6,27.8,7.8,4.8,5.2,18.5,20.3,311.09375,172.6564417
0,102.5376122,103.5707367,64.52916667,0.537542662,0.501501502,0.57101762,0.519800376,0.644927536,0.392491468,66.16666667,66.83333333,14.83333333,25,7.666666667,3.166666667,6.666666667,13.66666667,18,177.03125,202.6974359,90.48040083,110.5216622,67.86,0.427304965,0.539325843,0.476856167,0.568698817,0.615384615,0.29787234,61.4,75,12.8,23.2,8,1.6,6.2,12.6,21.2,318.53125,178.325
